Season,Player Name,Conference,Date,Team,Pos,Hight,Weight,Age,PreDraftTeam,DraftYear,YOS
1984-1985,Kareem Abdul-Jabbar,,"Mar 24, 1985","
Los Angeles Lakers
",C,7-2,225,37,UCLA,1969,15
1984-1985,Larry Bird,,"Mar 17, 1985","
Boston Celtics
",SF,6-9,220,28,Indiana State,1978,5
1984-1985,Darrell Griffith,,"Mar 10, 1985","
Utah Jazz
",SG,6-4,190,26,Louisville,1980,4
1984-1985,Sleepy Floyd,,"Mar 3, 1985","
Golden State Warriors
",PG,6-3,170,24,Georgetown,1982,2
1984-1985,Mark Aguirre,,"Feb 24, 1985","
Dallas Mavericks
",SF,6-6,232,25,DePaul,1981,3
1984-1985,Magic Johnson,,"Feb 17, 1985","
Los Angeles Lakers
",PG,6-9,255,25,Michigan State,1979,5
1984-1985,Dominique Wilkins,,"Feb 3, 1985","
Atlanta Hawks
",SF,6-7,200,25,Georgia,1982,2
1984-1985,Tom McMillen,,"Jan 27, 1985","
Washington Bullets
",PF,6-11,215,32,Maryland,1974,9
1984-1985,Michael Jordan,,"Jan 20, 1985","
Chicago Bulls
",SG,6-6,215,22,North Carolina,1984,0
1984-1985,World B. Free,,"Jan 13, 1985","
Cleveland Cavaliers
",G,6-2,185,31,Guilford,1975,9
1984-1985,Isiah Thomas,,"Jan 6, 1985","
Detroit Pistons
",PG,6-1,180,23,Indiana,1981,3
1984-1985,Micheal Ray Richardson,,"Dec 30, 1984","
New Jersey Nets
",PG,6-5,189,29,Montana,1978,6
1984-1985,Terry Cummings,,"Dec 23, 1984","
Milwaukee Bucks
",PF,6-9,220,23,DePaul,1982,2
1984-1985,Derek Smith,,"Dec 16, 1984","
Los Angeles Clippers
",SG,6-6,205,23,Louisville,1982,2
1984-1985,Orlando Woolridge,,"Dec 9, 1984","
Chicago Bulls
",PF,6-9,215,25,Notre Dame,1981,3
1984-1985,Jack Sikma,,"Dec 2, 1984","
Seattle SuperSonics
",C,6-11,230,29,Illinois Wesleyan,1977,7
1984-1985,Bernard King,,"Nov 25, 1984","
New York Knicks
",SF,6-7,205,28,Tennessee,1977,7
1984-1985,Moses Malone,,"Nov 18, 1984","
Philadelphia Sixers
",C,6-10,215,29,Petersburg High School (Virginia),1976,8
1984-1985,Alex English,,"Nov 11, 1984","
Denver Nuggets
",SF,6-7,190,31,South Carolina,1976,8
1984-1985,Larry Nance,,"Nov 4, 1984","
Phoenix Suns
",PF,6-10,205,26,Clemson,1981,3
1983-1984,Dominique Wilkins,,"Apr 15, 1984","
Atlanta Hawks
",SF,6-7,200,24,Georgia,1982,1
1983-1984,Kareem Abdul-Jabbar,,"Apr 8, 1984","
Los Angeles Lakers
",C,7-2,225,36,UCLA,1969,14
1983-1984,Isiah Thomas,,"Apr 1, 1984","
Detroit Pistons
",PG,6-1,180,22,Indiana,1981,2
1983-1984,Moses Malone,,"Mar 25, 1984","
Philadelphia Sixers
",C,6-10,215,28,Petersburg High School (Virginia),1976,7
1983-1984,Adrian Dantley,,"Mar 18, 1984","
Utah Jazz
",SF,6-5,208,28,Notre Dame,1976,7
1983-1984,Larry Bird,,"Mar 11, 1984","
Boston Celtics
",SF,6-9,220,27,Indiana State,1978,4
1983-1984,Mickey Johnson,,"Mar 4, 1984","
Golden State Warriors
",PF,6-10,190,31,Aurora,1974,9
1983-1984,Magic Johnson,,"Feb 26, 1984","
Los Angeles Lakers
",PG,6-9,255,24,Michigan State,1979,4
1983-1984,Larry Bird,,"Feb 19, 1984","
Boston Celtics
",SF,6-9,220,27,Indiana State,1978,4
1983-1984,Kareem Abdul-Jabbar,,"Feb 12, 1984","
Los Angeles Lakers
",C,7-2,225,36,UCLA,1969,14
1983-1984,Bernard King,,"Feb 5, 1984","
New York Knicks
",SF,6-7,205,27,Tennessee,1977,6
1983-1984,Buck Williams,,"Jan 22, 1984","
New Jersey Nets
",PF,6-8,215,23,Maryland,1981,2
1983-1984,Kelly Tripucka,,"Jan 15, 1984","
Detroit Pistons
",SF,6-6,220,25,Notre Dame,1981,2
1983-1984,Purvis Short,,"Jan 8, 1984","
Golden State Warriors
",SF,6-7,210,26,Jackson State,1978,5
1983-1984,Isiah Thomas,,"Jan 1, 1984","
Detroit Pistons
",PG,6-1,180,22,Indiana,1981,2
1983-1984,Dan Roundfield,,"Dec 25, 1983","
Atlanta Hawks
",PF,6-8,205,30,Central Michigan,1975,7
1983-1984,Adrian Dantley,,"Dec 18, 1983","
Utah Jazz
",SF,6-5,208,28,Notre Dame,1976,7
1983-1984,Jeff Ruland,,"Dec 11, 1983","
Washington Bullets
",C,6-10,240,25,Iona,1980,2
1983-1984,Rickey Green,,"Dec 4, 1983","
Utah Jazz
",PG,6-0,170,29,Michigan,1977,5
1983-1984,Mark Aguirre,,"Nov 27, 1983","
Dallas Mavericks
",SF,6-6,232,24,DePaul,1981,2
1983-1984,Kiki Vandeweghe,,"Nov 20, 1983","
Denver Nuggets
",SF,6-8,220,25,UCLA,1980,3
1983-1984,Magic Johnson,,"Nov 13, 1983","
Los Angeles Lakers
",PG,6-9,255,24,Michigan State,1979,4
1983-1984,Eddie Johnson,,"Nov 6, 1983",Kansas City Kings,SF,6-7,215,24,Illinois,1981,2
1982-1983,Mike Glenn,,"Apr 17, 1983","
Atlanta Hawks
",G,6-2,175,27,Southern Illinois,1977,5
1982-1983,Magic Johnson,,"Apr 10, 1983","
Los Angeles Lakers
",PG,6-9,255,23,Michigan State,1979,3
1982-1983,Larry Bird,,"Apr 3, 1983","
Boston Celtics
",SF,6-9,220,26,Indiana State,1978,3
1982-1983,Jeff Ruland,,"Mar 27, 1983","
Washington Bullets
",C,6-10,240,24,Iona,1980,1
1982-1983,Andrew Toney,,"Mar 20, 1983","
Philadelphia Sixers
",G,6-3,178,25,Louisiana,1980,2
1982-1983,Gus Williams,,"Mar 20, 1983","
Seattle SuperSonics
",G,6-2,175,29,USC,1975,6
1982-1983,Magic Johnson,,"Mar 13, 1983","
Los Angeles Lakers
",PG,6-9,255,23,Michigan State,1979,3
1982-1983,John Drew,,"Mar 6, 1983","
Utah Jazz
",GF,6-6,205,28,Gardner-Webb,1974,8
1982-1983,Walter Davis,,"Feb 27, 1983","
Phoenix Suns
",GF,6-6,193,28,North Carolina,1977,5
1982-1983,Larry Nance,,"Feb 20, 1983","
Phoenix Suns
",PF,6-10,205,24,Clemson,1981,1
1982-1983,Moses Malone,,"Feb 6, 1983","
Philadelphia Sixers
",C,6-10,215,27,Petersburg High School (Virginia),1976,6
1982-1983,Artis Gilmore,,"Jan 30, 1983","
San Antonio Spurs
",C,7-2,240,33,Jacksonville,1971,6
1982-1983,Joe Barry Carroll,,"Jan 23, 1983","
Golden State Warriors
",FC,7-0,225,24,Purdue,1980,2
1982-1983,Alex English,,"Jan 16, 1983","
Denver Nuggets
",SF,6-7,190,29,South Carolina,1976,6
1982-1983,Mickey Johnson,,"Jan 9, 1983","
New Jersey Nets
",PF,6-10,190,30,Aurora,1974,8
1982-1983,Kiki Vandeweghe,,"Jan 2, 1983","
Denver Nuggets
",SF,6-8,220,24,UCLA,1980,2
1982-1983,Maurice Lucas,,"Dec 26, 1982","
Phoenix Suns
",PF,6-9,215,31,Marquette,1974,6
1982-1983,Isiah Thomas,,"Dec 19, 1982","
Detroit Pistons
",PG,6-1,180,21,Indiana,1981,1
1982-1983,Larry Bird,,"Dec 12, 1982","
Boston Celtics
",SF,6-9,220,26,Indiana State,1978,3
1982-1983,Buck Williams,,"Dec 5, 1982","
New Jersey Nets
",PF,6-8,215,22,Maryland,1981,1
1982-1983,Larry Bird,,"Nov 28, 1982","
Boston Celtics
",SF,6-9,220,26,Indiana State,1978,3
1982-1983,Alex English,,"Nov 21, 1982","
Denver Nuggets
",SF,6-7,190,29,South Carolina,1976,6
1982-1983,Kelly Tripucka,,"Nov 14, 1982","
Detroit Pistons
",SF,6-6,220,24,Notre Dame,1981,1
1982-1983,Reggie Theus,,"Nov 7, 1982","
Chicago Bulls
",GF,6-7,190,25,UNLV,1978,4
1981-1982,Ray Williams,,"Apr 18, 1982","
New Jersey Nets
",G,6-3,188,27,Minnesota,1977,4
1981-1982,Billy Ray Bates,,"Apr 11, 1982","
Portland Trail Blazers
",SG,6-4,210,25,Kentucky State,1978,3
1981-1982,Jack Sikma,,"Apr 4, 1982","
Seattle SuperSonics
",C,6-11,230,26,Illinois Wesleyan,1977,4
1981-1982,Moses Malone,,"Mar 28, 1982","
Houston Rockets
",C,6-10,215,26,Petersburg High School (Virginia),1976,5
1981-1982,Robert Parish,,"Mar 21, 1982","
Boston Celtics
",C,7-0,230,28,Centenary,1976,4
1981-1982,Kelly Tripucka,,"Mar 14, 1982","
Detroit Pistons
",SF,6-6,220,23,Notre Dame,1981,0
1981-1982,George Gervin,,"Mar 7, 1982","
San Antonio Spurs
",GF,6-7,180,29,Eastern Michigan,1974,5
1981-1982,Kareem Abdul-Jabbar,,"Feb 28, 1982","
Los Angeles Lakers
",C,7-2,225,34,UCLA,1969,12
1981-1982,"Eddie Johnson, Jr.",,"Feb 21, 1982","
Atlanta Hawks
",G,6-2,180,27,Auburn,1977,4
1981-1982,Jay Vincent,,"Feb 14, 1982","
Dallas Mavericks
",F,6-7,220,22,Michigan State,1981,0
1981-1982,Moses Malone,,"Feb 7, 1982","
Houston Rockets
",C,6-10,215,26,Petersburg High School (Virginia),1976,5
1981-1982,Greg Ballard,,"Jan 24, 1982","
Washington Bullets
",F,6-7,215,27,Oregon,1977,4
1981-1982,Larry Bird,,"Jan 17, 1982","
Boston Celtics
",SF,6-9,220,25,Indiana State,1978,2
1981-1982,Gus Williams,,"Jan 10, 1982","
Seattle SuperSonics
",G,6-2,175,28,USC,1975,5
1981-1982,George Gervin,,"Jan 3, 1982","
San Antonio Spurs
",GF,6-7,180,29,Eastern Michigan,1974,5
1981-1982,Larry Bird,,"Dec 27, 1981","
Boston Celtics
",SF,6-9,220,25,Indiana State,1978,2
1981-1982,Bernard King,,"Dec 20, 1981","
Golden State Warriors
",SF,6-7,205,25,Tennessee,1977,4
1981-1982,Artis Gilmore,,"Dec 13, 1981","
Chicago Bulls
",C,7-2,240,32,Jacksonville,1971,5
1981-1982,George Gervin,,"Dec 6, 1981","
San Antonio Spurs
",GF,6-7,180,29,Eastern Michigan,1974,5
1981-1982,Alex English,,"Nov 29, 1981","
Denver Nuggets
",SF,6-7,190,28,South Carolina,1976,5
1981-1982,Dan Roundfield,,"Nov 22, 1981","
Atlanta Hawks
",PF,6-8,205,28,Central Michigan,1975,5
1981-1982,Ron Brewer,,"Nov 15, 1981","
San Antonio Spurs
",G,6-4,180,26,Arkansas,1978,3
1981-1982,Mychal Thompson,,"Nov 8, 1981","
Portland Trail Blazers
",FC,6-10,226,27,Minnesota,1978,3
1980-1981,Robert Reid,,"Mar 29, 1981","
Houston Rockets
",GF,6-8,205,25,St. Mary's (TX),1977,3
1980-1981,Micheal Ray Richardson,,"Mar 22, 1981","
New York Knicks
",PG,6-5,189,25,Montana,1978,2
1980-1981,Moses Malone,,"Mar 15, 1981","
Houston Rockets
",C,6-10,215,25,Petersburg High School (Virginia),1976,4
1980-1981,Larry Smith,,"Mar 8, 1981","
Golden State Warriors
",PF,6-8,215,23,Alcorn State,1980,0
1980-1981,Terry Tyler,,"Mar 1, 1981","
Detroit Pistons
",GF,6-7,215,24,Detroit-Mercy,1978,2
1980-1981,Mike Mitchell,,"Feb 22, 1981","
Cleveland Cavaliers
",F,6-7,215,25,Auburn,1978,2
1980-1981,Mike Newlin,,"Feb 15, 1981","
New Jersey Nets
",GF,6-4,200,32,Utah,1971,9
1980-1981,Caldwell Jones,,"Feb 8, 1981","
Philadelphia Sixers
",FC,6-11,216,30,Albany State (GA),1973,6
1980-1981,Kenny Carr,,"Feb 1, 1981","
Cleveland Cavaliers
",GF,6-7,220,25,NC State,1977,3
1980-1981,Phil Ford,,"Jan 25, 1981",Kansas City Kings,G,6-2,175,25,North Carolina,1978,2
1980-1981,Julius Erving,,"Jan 18, 1981","
Philadelphia Sixers
",SF,6-6,200,31,Massachusetts,1972,8
1980-1981,Tiny Archibald,,"Jan 11, 1981","
Boston Celtics
",PG,6-1,150,32,UTEP,1970,10
1980-1981,Bernard King,,"Jan 4, 1981","
Golden State Warriors
",SF,6-7,205,24,Tennessee,1977,3
1980-1981,Dennis Johnson,,"Dec 28, 1980","
Phoenix Suns
",PG,6-4,185,26,Pepperdine,1976,4
1980-1981,Kareem Abdul-Jabbar,,"Dec 21, 1980","
Los Angeles Lakers
",C,7-2,225,33,UCLA,1969,11
1980-1981,Dan Roundfield,,"Dec 14, 1980","
Atlanta Hawks
",PF,6-8,205,27,Central Michigan,1975,4
1980-1981,"Mike Dunleavy, Sr.",,"Dec 7, 1980","
Houston Rockets
",G,6-3,180,26,South Carolina,1976,4
1980-1981,Robert Parish,,"Nov 30, 1980","
Boston Celtics
",C,7-0,230,27,Centenary,1976,3
1980-1981,Artis Gilmore,,"Nov 23, 1980","
Chicago Bulls
",C,7-2,240,31,Jacksonville,1971,4
1980-1981,Billy Knight,,"Nov 16, 1980","
Indiana Pacers
",GF,6-6,195,28,Pittsburgh,1974,4
1980-1981,Elvin Hayes,,"Nov 9, 1980","
Washington Bullets
",FC,6-9,235,35,Houston,1968,12
1980-1981,David Thompson,,"Nov 2, 1980","
Denver Nuggets
",GF,6-5,195,26,NC State,1975,4
1980-1981,Otis Birdsong,,"Oct 26, 1980",Kansas City Kings,GF,6-3,190,25,Houston,1977,3
1980-1981,Adrian Dantley,,"Oct 19, 1980","
Utah Jazz
",SF,6-5,208,25,Notre Dame,1976,4
1979-1980,Kevin Grevey,,"Mar 30, 1980","
Washington Bullets
",GF,6-5,210,26,Kentucky,1975,4
1979-1980,Billy Ray Bates,,"Mar 23, 1980","
Portland Trail Blazers
",SG,6-4,210,23,Kentucky State,1978,1
1979-1980,Magic Johnson,,"Mar 16, 1980","
Los Angeles Lakers
",PG,6-9,255,20,Michigan State,1979,0
1979-1980,Cliff Robinson,,"Mar 9, 1980","
New Jersey Nets
",F,6-9,220,19,USC,1979,0
1979-1980,Larry Bird,,"Mar 2, 1980","
Boston Celtics
",SF,6-9,220,23,Indiana State,1978,0
1979-1980,Calvin Natt,,"Feb 24, 1980","
Portland Trail Blazers
",F,6-6,220,23,Louisiana-Monroe,1979,0
1979-1980,Kareem Abdul-Jabbar,,"Feb 17, 1980","
Los Angeles Lakers
",C,7-2,225,32,UCLA,1969,10
1979-1980,Rick Barry,,"Feb 10, 1980","
Houston Rockets
",F,6-7,205,35,Miami (FL),1965,9
1979-1980,George Gervin,,"Jan 27, 1980","
San Antonio Spurs
",GF,6-7,180,27,Eastern Michigan,1974,3
1979-1980,Dennis Johnson,,"Jan 20, 1980","
Seattle SuperSonics
",PG,6-4,185,25,Pepperdine,1976,3
1979-1980,Greg Ballard,,"Jan 13, 1980","
Washington Bullets
",F,6-7,215,25,Oregon,1977,2
1979-1980,Scott Wedman,,"Jan 6, 1980",Kansas City Kings,GF,6-7,215,27,Colorado,1974,5
1979-1980,Mike Mitchell,,"Dec 30, 1979","
Cleveland Cavaliers
",F,6-7,215,24,Auburn,1978,1
1979-1980,Swen Nater,,"Dec 23, 1979",San Diego Clippers,C,6-11,240,30,UCLA,1973,3
1979-1980,Dan Roundfield,,"Dec 16, 1979","
Atlanta Hawks
",PF,6-8,205,26,Central Michigan,1975,3
1979-1980,Kareem Abdul-Jabbar,,"Dec 9, 1979","
Los Angeles Lakers
",C,7-2,225,32,UCLA,1969,10
1979-1980,Adrian Dantley,,"Dec 2, 1979","
Utah Jazz
",SF,6-5,208,24,Notre Dame,1976,3
1979-1980,Walter Davis,,"Nov 25, 1979","
Phoenix Suns
",GF,6-6,193,25,North Carolina,1977,2
1979-1980,Phil Ford,,"Nov 18, 1979",Kansas City Kings,G,6-2,175,24,North Carolina,1978,1
1979-1980,Magic Johnson,,"Nov 11, 1979","
Los Angeles Lakers
",PG,6-9,255,20,Michigan State,1979,0
1979-1980,Marques Johnson,,"Nov 4, 1979","
Milwaukee Bucks
",GF,6-7,218,24,UCLA,1977,2
1979-1980,Micheal Ray Richardson,,"Oct 28, 1979","
New York Knicks
",PG,6-5,189,24,Montana,1978,1
1979-1980,Julius Erving,,"Oct 21, 1979","
Philadelphia Sixers
",SF,6-6,200,30,Massachusetts,1972,7
